---,exp
1,100
2,120
3,140
4,160
5,180
6,200
7,220
8,240
9,260
10,280
11,300
12,320
13,340
14,360
15,380
16,400
17,420
18,440
19,460
20,480
21,500
22,520
23,540
24,560
25,580
26,600
27,620
28,640
29,660
30,680
31,700
32,720
33,740
34,760
35,780
36,800
37,820
38,840
39,860
40,880
41,900
42,920
43,940
44,960
45,980
46,1000
47,1020
48,1040
49,1060
50,1080
51,1100
52,1120
53,1140
54,1160
55,1180
56,1200
57,1220
58,1240
59,1260
60,1280
61,1300
62,1320
63,1340
64,1360
65,1380
66,1400
67,1420
68,1440
69,1460
70,1480
71,1500
72,1520
73,1540
74,1560
75,1580
76,1600
77,1620
78,1640
79,1660
80,1680
81,1700
